DATAFLOW,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00206(1.0),A,GDIVRT,ES,2009,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,ES,2010,2.2,
ESTAT:TPS00206(1.0),A,GDIVRT,ES,2011,2.2,
ESTAT:TPS00206(1.0),A,GDIVRT,ES,2012,2.2,
ESTAT:TPS00206(1.0),A,GDIVRT,ES,2013,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,ES,2014,2.2,
ESTAT:TPS00206(1.0),A,GDIVRT,ES,2015,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,ES,2016,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,ES,2017,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,EU27,2006,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,EU27,2007,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,EU27,2008,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,EU27,2009,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,EU27,2010,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,EU27,2011,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,EU27,2012,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,EU27,2013,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,EU28,2006,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,EU28,2007,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,EU28,2008,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,EU28,2009,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,EU28,2010,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,EU28,2011,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,EU28,2012,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,EU28,2013,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,EU28,2014,1.8,
ESTAT:TPS00206(1.0),A,GDIVRT,EU28,2015,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,FI,2006,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,FI,2007,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,FI,2008,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,FI,2009,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,FI,2010,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,FI,2011,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,FI,2012,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,FI,2013,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,FI,2014,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,FI,2015,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,FI,2016,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,FI,2017,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,FR,2006,2.2,
ESTAT:TPS00206(1.0),A,GDIVRT,FR,2007,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,FR,2008,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,FR,2009,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,FR,2010,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,FR,2011,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,FR,2012,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,FR,2013,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,FR,2014,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,FR,2015,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,FR,2016,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,FX,2006,2.2,
ESTAT:TPS00206(1.0),A,GDIVRT,FX,2007,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,FX,2008,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,FX,2010,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,FX,2011,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,GE,2006,0.5,
ESTAT:TPS00206(1.0),A,GDIVRT,GE,2007,0.5,
ESTAT:TPS00206(1.0),A,GDIVRT,GE,2008,0.7,
ESTAT:TPS00206(1.0),A,GDIVRT,GE,2009,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,GE,2010,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,GE,2011,1.3,
ESTAT:TPS00206(1.0),A,GDIVRT,GE,2015,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,GE,2016,2.6,
ESTAT:TPS00206(1.0),A,GDIVRT,GE,2017,2.7,
ESTAT:TPS00206(1.0),A,GDIVRT,HR,2006,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,HR,2007,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,HR,2008,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,HR,2009,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,HR,2010,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,HR,2011,1.3,
ESTAT:TPS00206(1.0),A,GDIVRT,HR,2012,1.3,
ESTAT:TPS00206(1.0),A,GDIVRT,HR,2013,1.4,
ESTAT:TPS00206(1.0),A,GDIVRT,HR,2014,1.4,
ESTAT:TPS00206(1.0),A,GDIVRT,HR,2015,1.4,
ESTAT:TPS00206(1.0),A,GDIVRT,HR,2016,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,HR,2017,1.5,
ESTAT:TPS00206(1.0),A,GDIVRT,HU,2006,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,HU,2007,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,HU,2008,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,HU,2009,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,HU,2010,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,HU,2011,2.3,
ESTAT:TPS00206(1.0),A,GDIVRT,HU,2012,2.2,b
ESTAT:TPS00206(1.0),A,GDIVRT,HU,2013,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,HU,2014,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,HU,2015,2.1,
ESTAT:TPS00206(1.0),A,GDIVRT,HU,2016,2.0,
ESTAT:TPS00206(1.0),A,GDIVRT,HU,2017,1.9,
ESTAT:TPS00206(1.0),A,GDIVRT,IE,2006,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,IE,2007,0.8,
ESTAT:TPS00206(1.0),A,GDIVRT,IE,2008,0.8,
ESTAT:TPS00206(1.0),A,GDIVRT,IE,2009,0.7,
ESTAT:TPS00206(1.0),A,GDIVRT,IE,2010,0.7,
ESTAT:TPS00206(1.0),A,GDIVRT,IE,2011,0.6,
ESTAT:TPS00206(1.0),A,GDIVRT,IE,2012,0.6,
ESTAT:TPS00206(1.0),A,GDIVRT,IE,2013,0.6,
ESTAT:TPS00206(1.0),A,GDIVRT,IE,2014,0.6,
ESTAT:TPS00206(1.0),A,GDIVRT,IE,2015,0.7,
ESTAT:TPS00206(1.0),A,GDIVRT,IS,2006,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,IS,2007,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,IS,2008,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,IS,2009,1.7,
ESTAT:TPS00206(1.0),A,GDIVRT,IS,2010,1.8,
ESTAT:TPS00206(1.0),A,GDIVRT,IS,2011,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,IT,2006,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,IT,2007,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,IT,2008,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,IT,2009,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,IT,2010,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,IT,2011,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,IT,2012,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,IT,2013,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,IT,2014,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,IT,2015,1.4,
ESTAT:TPS00206(1.0),A,GDIVRT,IT,2016,1.6,
ESTAT:TPS00206(1.0),A,GDIVRT,IT,2017,1.5,
ESTAT:TPS00206(1.0),A,GDIVRT,LI,2006,2.3,
